id,data_venda,preco,quartos,banheiros,area_habitavel,area_lote,andares,beira_mar,vista,condicao,nivel_acabamento,area_acima_solo,area_porao,ano_construcao,ano_renovacao,codigo_postal,latitude,longitude,area_habitavel_viz,area_lote_viz,faixa_preco,idade_imovel,foi_reformado,area_total,densidade_construcao,preco_m2
7129300520,13/10/2014,221900,3,1,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,baixo,70,0,1180,0.2088495575221239,188.05084745762713
6414100192,09/12/2014,538000,3,2,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,alto,74,1,2970,0.4101077050538525,181.14478114478115
2487200875,09/12/2014,604000,4,3,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,alto,60,0,2870,0.574,210.45296167247386
1954400510,18/02/2015,510000,3,2,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,alto,38,0,1680,0.2079207920792079,303.57142857142856
7237550310,12/05/2014,1225000,4,4,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,muito_alto,24,0,6950,0.06818404787599333,176.25899280575538
1321400060,27/06/2014,257500,3,2,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,baixo,30,0,1715,0.2515031529549787,150.14577259475217
2008000270,15/01/2015,291850,3,2,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,baixo,62,0,1060,0.10915456698589229,275.3301886792453
2414600126,15/04/2015,229500,3,1,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,baixo,65,0,2510,0.3360107095046854,91.43426294820718
3793500160,12/03/2015,323000,3,3,1890,6560,1.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,medio,22,0,1890,0.28810975609756095,170.8994708994709
1736800520,03/04/2015,662500,3,3,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,muito_alto,60,0,5260,0.5369538587178441,125.95057034220532
9212900260,27/05/2014,468000,2,1,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,alto,83,0,1460,0.24333333333333335,320.54794520547944
114101516,28/05/2014,310000,3,1,1430,19901,2.0,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,baixo,98,0,1430,0.07185568564393749,216.78321678321677
6054650070,07/10/2014,400000,3,2,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,medio,48,0,1370,0.1415289256198347,291.97080291970804
1175000570,12/03/2015,530000,5,2,1810,4850,2.0,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,alto,125,0,1810,0.3731958762886598,292.81767955801104
9297300055,24/01/2015,650000,4,3,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,muito_alto,46,0,3920,0.784,165.81632653061226
1875500060,31/07/2014,395000,3,2,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,medio,31,0,1890,0.1346153846153846,208.994708994709
6865200140,29/05/2014,485000,4,1,1600,4300,2.0,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,alto,109,0,1600,0.37209302325581395,303.125
16000397,05/12/2014,189000,2,1,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,baixo,104,0,1200,0.1218274111675127,157.5
7983200060,24/04/2015,230000,3,1,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,baixo,56,0,1250,0.127890321260487,184.0
6300500875,14/05/2014,385000,4,2,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,medio,78,0,2380,0.4779116465863454,161.76470588235293
7137970340,03/07/2014,285000,5,3,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,baixo,30,0,2270,0.3603174603174603,125.55066079295155
